,StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,UTCTimestamp,Timestamp,MediaTime,TimeSignal,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,DistanceLeft,DistanceRight,CameraLeftX,CameraLeftY,CameraRightX,CameraRightY,ValidityLeft,ValidityRight,GazeX,GazeY,GazeAOI,InterpolatedGazeX,InterpolatedGazeY,GazeEventType,GazeVelocityAngle,SaccadeSeq,SaccadeStart,SaccadeDuration,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration,FixationAOI,PostMarker,Annotation,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent Current_task
29624,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211532394,20170609_141532394,247439,254551,-1,-1,602,351,-1,-1,-1,480.1961,-1,-1,0.3854178,0.457938,4,0,602,351,,602,351,,0,,,,340,594,375,247439,101,,,,,,,,,
29691,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211532953,20170609_141532953,247998,255109,302,407,309,333,-1,-1,464.7408,480.4966,0.5242289,0.4954653,0.3885434,0.4772507,0,0,306,370,,306,370,,0,,,,341,318,375,247998,135,,,,,,,,,
29709,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211533103,20170609_141533103,248148,255259,252,384,309,369,-1,-1,469.7743,468.4052,0.5232319,0.4957172,0.3886836,0.4774478,0,0,280,376,,280,376,,0,,,,342,302,371,248148,209,,,,,,,,,
29751,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211533454,20170609_141533454,248499,255609,342,426,399,392,-1,-1,475.3886,474.0407,0.5223508,0.4953712,0.3874474,0.4773877,0,0,370,409,,370,409,,0,,,,343,356,373,248499,100,,,,,,,,,
29764,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211533562,20170609_141533562,248607,255718,-1,-1,384,398,-1,3.020157,-1,502.7922,-1,-1,0.385253,0.477421,4,0,384,398,,384,398,,0,,,,344,374,381,248607,111,,,,,,,,,
29925,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211534903,20170609_141534903,249948,257059,-1,-1,538,398,-1,-1,-1,450.0823,-1,-1,0.389891,0.4769216,4,0,538,398,,538,398,,0,,,,345,540,416,249948,134,,,,,,,,,
30306,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211538079,20170609_141538079,253124,260234,-1,-1,422,335,-1,-1,-1,477.6348,-1,-1,0.387922,0.4761193,4,0,422,335,,422,335,,0,,,,346,434,356,253124,175,,,,,,,,,
30418,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211539012,20170609_141539012,254057,261167,-1,-1,953,357,-1,2.784027,-1,471.9172,-1,-1,0.3809091,0.4766197,4,0,953,357,,953,357,,0,,,,347,946,371,254057,196,,,,,,,,,
30845,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211542565,20170609_141542565,257609,264721,-1,-1,616,458,-1,-1,-1,449.6008,-1,-1,0.3798362,0.4785818,4,0,616,458,,616,458,,0,,,,348,613,475,257609,162,,,,,,,,,
31502,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211548034,20170609_141548034,263079,270189,-1,-1,538,366,-1,-1,-1,477.4771,0.5116134,0.4965083,0.3782357,0.4799297,0,0,538,366,,538,366,,0,,,,351,530,341,263079,100,,,,,,,,,
31536,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211548318,20170609_141548318,263363,270472,-1,-1,602,382,-1,2.657394,-1,475.4848,-1,-1,0.3769414,0.4795517,4,0,602,382,,602,382,,0,,,,352,598,351,263363,198,,,,,,,,,
31602,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211548866,20170609_141548866,263911,271022,-1,-1,519,360,-1,2.636063,-1,464.9434,-1,-1,0.379686,0.4796217,4,0,519,360,,519,360,,0,,,,353,514,358,263911,193,,,,,,,,,
31756,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211550150,20170609_141550150,265195,272305,-1,-1,444,444,-1,-1,-1,468.6102,-1,-1,0.3815756,0.4803011,4,0,444,444,,444,444,,0,,,,354,453,448,265195,136,,,,,,,,,
31905,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211551391,20170609_141551391,266436,273547,-1,-1,799,363,-1,2.767166,-1,470.5762,-1,-1,0.3770606,0.4796543,4,0,799,363,,799,363,,0,,,,355,812,350,266436,100,,,,,,,,,
31946,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211551733,20170609_141551733,266778,273889,-1,-1,505,353,-1,-1,-1,465.9109,0.5127515,0.4967202,0.3797579,0.4801022,0,0,505,353,,505,353,,0,,,,356,506,339,266778,232,,,,,,,,,
32196,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211553815,20170609_141553815,268860,275972,-1,-1,435,444,-1,3.115005,-1,483.5384,-1,-1,0.3810172,0.483976,4,0,435,444,,435,444,,0,,,,357,440,462,268860,193,,,,,,,,,
32511,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211556440,20170609_141556440,271485,278597,-1,-1,382,337,-1,3.029694,-1,467.0146,-1,-1,0.4391144,0.4474028,4,0,382,337,,382,337,,0,,,,358,381,366,271485,144,,,,,,,,,
32534,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211556635,20170609_141556635,271680,278788,-1,-1,405,424,-1,-1,-1,454.1788,-1,-1,0.4477198,0.447272,4,0,405,424,,405,424,,0,,,,359,419,437,271680,198,,,,,,,,,
32873,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211559456,20170609_141559456,274500,281613,-1,-1,378,595,-1,-1,-1,450.7625,-1,-1,0.4465863,0.4556889,4,0,378,595,,378,595,,0,,,,360,378,585,274500,736,,,,,,,,,
33026,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211600731,20170609_141600731,275775,282888,-1,-1,391,591,-1,-1,-1,442.7684,-1,-1,0.4458838,0.4565198,4,0,391,591,,391,591,,0,,,,361,390,614,275775,352,,,,,,,,,
33071,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211601112,20170609_141601112,276156,283263,364,618,384,588,-1,-1,427.0532,444.4869,0.5901254,0.4733926,0.4461115,0.4567599,0,0,374,603,,374,603,,0,,,,362,382,593,276156,129,,,,,,,,,
33090,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211601265,20170609_141601265,276309,283421,364,589,392,578,2.820099,2.909561,428.3369,445.3768,0.5893248,0.4744823,0.4455231,0.4567203,0,0,378,584,,378,584,,0,,,,363,387,588,276309,166,,,,,,,,,
33122,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211601532,20170609_141601532,276576,283688,309,631,312,579,-1,-1,428.3864,445.6496,0.589234,0.4734527,0.4452823,0.4568604,0,0,310,605,,310,605,,0,,,,364,317,584,276576,109,,,,,,,,,
33138,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211601665,20170609_141601665,276709,283821,-1,-1,418,633,-1,2.807693,-1,444.4572,-1,-1,0.4451635,0.457257,4,0,418,633,,418,633,,0,,,,365,429,653,276709,216,,,,,,,,,
33174,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211601965,20170609_141601965,277009,284121,396,708,431,721,2.669922,2.784485,420.2923,440.0913,0.5903051,0.4751451,0.4463478,0.4573251,0,0,414,714,,414,714,,0,,,,366,392,707,277009,250,,,,,,,,,
33228,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211602415,20170609_141602415,277459,284571,401,674,434,691,2.624405,2.869598,427.2373,445.5732,0.5896413,0.4754905,0.4461403,0.4578148,0,0,418,682,,418,682,,0,,,,367,403,684,277459,169,,,,,,,,,
33251,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211602606,20170609_141602606,277650,284763,-1,-1,419,645,-1,-1,-1,448.1661,-1,-1,0.4480925,0.4577064,4,0,419,645,,419,645,,0,,,,368,404,635,277650,176,,,,,,,,,
33284,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211602881,20170609_141602881,277925,285038,-1,-1,404,677,-1,-1,-1,452.1033,-1,-1,0.4493126,0.4590255,4,0,404,677,,404,677,,0,,,,369,400,690,277925,599,,,,,,,,,
33363,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211603550,20170609_141603550,278594,285696,339,670,384,694,2.604706,2.711304,434.3365,450.3746,0.5918624,0.4769453,0.4483272,0.4588566,0,0,362,682,,373,696,,0,,,,370,365,700,278580,128,,,,,,,,,
33378,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211603665,20170609_141603665,278709,285821,317,718,-1,-1,2.562653,-1,429.9832,-1,0.591925,0.4772289,-1,-1,0,4,317,718,,317,718,,0,,,,371,332,712,278709,100,,,,,,,,,
33435,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211604141,20170609_141604141,279185,286296,403,734,435,723,2.544952,2.752869,423.2672,442.847,0.592978,0.4776106,0.4485604,0.4598733,0,0,419,728,,419,728,,0,,,,372,429,730,279185,290,,,,,,,,,
33474,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211604465,20170609_141604465,279509,286621,321,701,322,736,2.593033,2.810059,430.7849,447.2558,0.5906816,0.477807,0.4467245,0.4602595,0,0,322,718,,322,718,,0,,,,373,306,716,279509,191,,,,,,,,,
33498,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211604664,20170609_141604664,279708,286821,316,764,332,801,2.663803,2.819824,440.2164,453.2679,0.5899904,0.4781252,0.4465888,0.4606836,0,0,324,782,,324,782,,0,,,,374,325,782,279708,866,,,,,,,,,
33812,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211607375,20170609_141607375,282420,289525,-1,-1,430,312,-1,-1,-1,434.0953,-1,-1,0.4556019,0.458547,4,0,430,312,,430,312,,0,,,,375,398,311,282420,177,,,,,,,,,
33852,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211607702,20170609_141607702,282747,289859,-1,-1,542,318,-1,2.966537,-1,439.4302,-1,-1,0.4529183,0.4583638,4,0,542,318,,542,318,,0,,,,376,554,324,282747,126,,,,,,,,,
33869,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211607844,20170609_141607844,282889,290000,-1,-1,394,451,-1,-1,-1,437.4644,-1,-1,0.4546802,0.4587089,4,0,394,451,,394,451,,0,,,,377,374,431,282889,233,,,,,,,,,
33912,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211608203,20170609_141608203,283248,290359,-1,-1,527,334,-1,2.802139,-1,436.7699,-1,-1,0.453055,0.4583293,4,0,527,334,,527,334,,0,,,,378,537,312,283248,242,,,,,,,,,
33945,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211608477,20170609_141608477,283522,290634,-1,-1,387,285,-1,2.748337,-1,442.685,-1,-1,0.453491,0.4586724,4,0,387,285,,387,285,,0,,,,379,395,285,283522,101,,,,,,,,,
34723,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211615039,20170609_141615039,290084,297197,-1,-1,299,628,-1,-1,-1,448.4109,-1,-1,0.4598611,0.4627469,4,0,299,628,,299,628,,0,,,,380,308,643,290084,234,,,,,,,,,
34820,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211615850,20170609_141615850,290894,298005,-1,-1,332,648,-1,3.121002,-1,444.6699,-1,-1,0.457958,0.4636062,4,0,332,648,,332,648,,0,,,,381,315,665,290894,275,,,,,,,,,
34889,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211616424,20170609_141616424,291468,298580,394,666,403,673,2.931976,3.214371,417.2223,437.3717,0.6031738,0.4790183,0.4569607,0.4631261,0,0,398,670,,398,670,,0,,,,382,407,665,291468,102,,,,,,,,,
34955,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211616975,20170609_141616975,292019,299130,-1,-1,428,576,-1,3.055008,-1,438.0441,-1,-1,0.4560686,0.4624104,4,0,428,576,,428,576,,0,,,,383,424,574,292019,167,,,,,,,,,
34976,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211617151,20170609_141617151,292195,299305,-1,-1,382,501,-1,2.978119,-1,436.9772,-1,-1,0.4565315,0.4626611,4,0,382,501,,382,501,,0,,,,384,356,486,292195,242,,,,,,,,,
35030,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211617599,20170609_141617599,292643,299755,370,621,409,639,2.684723,2.860016,423.1729,440.5726,0.6010612,0.4788761,0.4558869,0.4631794,0,0,390,630,,390,630,,0,,,,385,387,619,292643,175,,,,,,,,,
35116,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211618327,20170609_141618327,293371,300472,-1,-1,543,539,-1,-1,-1,446.3197,-1,-1,0.4559016,0.4629374,4,0,543,539,,-1,-1,,0,,,,386,549,542,293357,213,,,,,,,,,
35206,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211619068,20170609_141619068,294112,301222,-1,-1,444,611,-1,-1,-1,447.9223,-1,-1,0.4555146,0.4642311,4,0,444,611,,444,611,,0,,,,387,428,606,294112,108,,,,,,,,,
35242,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211619365,20170609_141619365,294409,301522,-1,-1,365,649,-1,-1,-1,447.6836,-1,-1,0.4561745,0.4642535,4,0,365,649,,365,649,,0,,,,388,376,645,294409,259,,,,,,,,,
35285,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211619726,20170609_141619726,294770,301880,336,648,386,639,2.829712,3.075516,430.4128,446.3968,0.6014664,0.4801044,0.4562785,0.4640656,0,0,361,644,,361,644,,0,,,,389,382,636,294770,323,,,,,,,,,
35326,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211620065,20170609_141620065,295109,302222,-1,-1,414,651,-1,-1,-1,441.4748,-1,-1,0.4559258,0.4641525,4,0,414,651,,414,651,,0,,,,390,414,650,295109,109,,,,,,,,,
35347,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211620240,20170609_141620240,295284,302397,-1,-1,495,576,-1,-1,-1,438.9226,-1,-1,0.4553447,0.4633843,4,0,495,576,,495,576,,0,,,,391,495,564,295284,360,,,,,,,,,
35411,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211620775,20170609_141620775,295819,302930,-1,-1,334,647,-1,2.889481,-1,453.5769,-1,-1,0.4566702,0.4642668,4,0,334,647,,334,647,,0,,,,392,312,637,295819,476,,,,,,,,,
35470,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211621265,20170609_141621265,296309,303422,277,680,305,644,-1,-1,433.3169,447.7359,0.6021569,0.4792576,0.4568055,0.4641769,0,0,291,662,,291,662,,0,,,,393,312,650,296309,250,,,,,,,,,
35503,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211621543,20170609_141621543,296587,303697,-1,-1,321,644,-1,-1,-1,449.0403,-1,-1,0.456275,0.4642195,4,0,321,644,,321,644,,0,,,,394,309,640,296587,497,,,,,,,,,
35564,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211622048,20170609_141622048,297092,304205,325,637,357,654,2.640945,2.728256,432.2849,446.3379,0.6001175,0.480055,0.455039,0.4646097,0,0,341,646,,341,646,,0,,,,395,340,638,297092,201,,,,,,,,,
35687,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211623073,20170609_141623073,298118,305230,-1,-1,619,495,-1,2.799332,-1,464.1391,-1,-1,0.4519928,0.4631529,4,0,619,495,,619,495,,0,,,,396,641,498,298118,117,,,,,,,,,
35924,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211625048,20170609_141625048,300093,307205,-1,-1,707,496,-1,2.516708,-1,449.147,-1,-1,0.4529019,0.4627527,4,0,707,496,,707,496,,0,,,,397,708,500,300093,116,,,,,,,,,
36086,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211626398,20170609_141626398,301443,308555,-1,-1,498,527,-1,2.627487,-1,454.7047,-1,-1,0.4527987,0.4630671,4,0,498,527,,498,527,,0,,,,398,507,540,301443,192,,,,,,,,,
36182,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211627198,20170609_141627198,302243,309354,-1,-1,283,517,-1,2.731918,-1,446.89,-1,-1,0.4553238,0.4636524,4,0,283,517,,283,517,,0,,,,399,314,536,302243,591,,,,,,,,,
36315,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211628305,20170609_141628305,303350,310463,-1,-1,550,774,-1,-1,-1,449.904,-1,-1,0.4512157,0.4656413,4,0,550,774,,550,774,,0,,,,400,527,774,303350,168,,,,,,,,,
36464,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211629549,20170609_141629549,304594,311704,448,760,485,801,2.939774,2.931519,444.1799,452.2525,0.5983585,0.4821447,0.4531612,0.4672977,0,0,466,780,,466,780,,0,,,,401,487,790,304594,123,,,,,,,,,
36506,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211629898,20170609_141629898,304943,312054,427,675,491,709,2.914185,2.98233,446.3245,455.444,0.5977877,0.4815952,0.4529307,0.4668244,0,0,459,692,,459,692,,0,,,,402,466,697,304943,149,,,,,,,,,
36620,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211630847,20170609_141630847,305892,313004,431,747,491,798,2.887543,2.975906,448.4042,457.2534,0.5981802,0.4828209,0.4525023,0.4678922,0,0,461,772,,461,772,,0,,,,404,471,783,305892,100,,,,,,,,,
36641,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211631023,20170609_141631023,306068,313179,559,777,-1,-1,2.879959,-1,443.3862,-1,0.597553,0.4829371,-1,-1,0,4,559,777,,559,777,,0,,,,405,567,808,306068,129,,,,,,,,,
36716,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211631647,20170609_141631647,306692,313804,408,744,432,799,2.874298,3.005295,441.8137,452.2042,0.5986046,0.4834577,0.4523424,0.4688371,0,0,420,772,,420,772,,0,,,,406,449,781,306692,125,,,,,,,,,
36735,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211631804,20170609_141631804,306849,313962,-1,-1,512,772,-1,-1,-1,450.472,-1,-1,0.4515256,0.4689487,4,0,512,772,,512,772,,0,,,,407,531,785,306849,176,,,,,,,,,
36770,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211632097,20170609_141632097,307142,314254,316,738,337,774,2.864487,3.042755,439.627,453.3875,0.6007894,0.4840466,0.4546303,0.4692033,0,0,326,756,,326,756,,0,,,,408,323,761,307142,125,,,,,,,,,
36805,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211632388,20170609_141632388,307433,314546,310,756,-1,-1,-1,-1,429.9055,-1,0.6017531,0.4835747,-1,-1,0,4,310,756,,310,756,,0,,,,409,312,776,307433,250,,,,,,,,,
36857,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211632822,20170609_141632822,307866,314979,332,778,316,799,2.867752,3.020874,428.8379,445.6352,0.6007663,0.4843667,0.4535824,0.4698878,0,0,324,788,,324,788,,0,,,,410,316,787,307866,451,,,,,,,,,
36913,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211633289,20170609_141633289,308333,315446,297,753,295,773,-1,-1,430.5268,446.1255,0.6012877,0.4839956,0.4537649,0.4702982,0,0,296,763,,296,763,,0,,,,411,306,774,308333,177,,,,,,,,,
36952,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211633614,20170609_141633614,308658,315771,-1,-1,391,907,-1,-1,-1,444.2277,-1,-1,0.4536758,0.4708402,4,0,391,907,,391,907,,0,,,,412,380,900,308658,199,,,,,,,,,
36982,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211633864,20170609_141633864,308908,316021,357,777,364,767,-1,-1,435.1053,449.3991,0.6016638,0.4839431,0.4549871,0.4697177,0,0,360,772,,360,772,,0,,,,413,376,754,308908,225,,,,,,,,,
37013,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211634123,20170609_141634123,309167,316279,383,747,421,794,2.801865,2.829559,436.8673,436.2582,0.6010031,0.4838257,0.4554056,0.4690424,0,0,402,770,,402,770,,0,,,,414,418,780,309167,100,,,,,,,,,
37056,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211634480,20170609_141634480,309524,316637,-1,-1,702,716,-1,-1,-1,444.2068,-1,-1,0.4515262,0.4682202,4,0,702,716,,702,716,,0,,,,415,695,707,309524,219,,,,,,,,,
37103,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211634881,20170609_141634881,309925,317029,283,718,332,762,2.683792,2.930984,458.7727,464.7742,0.5987147,0.4840117,0.4537583,0.4690068,0,0,308,740,,308,740,,0,,,,416,302,739,309925,175,,,,,,,,,
37132,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211635122,20170609_141635122,310166,317270,-1,-1,345,766,-1,-1,-1,453.2254,-1,-1,0.4542311,0.4693,4,0,345,766,,345,766,,0,,,,417,329,767,310166,174,,,,,,,,,
37154,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211635305,20170609_141635305,310349,317454,259,725,297,767,2.700668,2.854843,433.8349,448.5349,0.6015483,0.4844164,0.4551345,0.469448,0,0,278,746,,278,746,,0,,,,418,288,756,310349,126,,,,,,,,,
37175,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211635480,20170609_141635480,310524,317629,-1,-1,332,779,-1,2.845505,-1,444.2011,-1,-1,0.4549968,0.4695482,4,0,332,779,,332,779,,0,,,,419,325,772,310524,167,,,,,,,,,
37235,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211635980,20170609_141635980,311024,318129,-1,-1,368,758,-1,2.881577,-1,443.6495,-1,-1,0.4514685,0.4689028,4,0,368,758,,368,758,,0,,,,420,379,772,311024,125,,,,,,,,,
37273,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211636297,20170609_141636297,311341,318445,316,768,365,774,-1,-1,429.1314,447.1135,0.6006163,0.4832991,0.4525788,0.4693596,0,0,340,771,,340,771,,0,,,,421,325,771,311341,400,,,,,,,,,
37322,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211636705,20170609_141636705,311749,318854,315,733,315,746,2.725906,2.836411,431.5452,446.0912,0.5995111,0.4837945,0.4519936,0.4693368,0,0,315,740,,315,740,,0,,,,422,320,756,311749,127,,,,,,,,,
37339,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211636846,20170609_141636846,311890,318995,299,732,-1,-1,-1,-1,431.9823,-1,0.6004141,0.4832274,-1,-1,0,4,299,732,,299,732,,0,,,,423,312,750,311890,134,,,,,,,,,
37357,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211636996,20170609_141636996,312040,319145,-1,-1,330,783,-1,-1,-1,441.8355,-1,-1,0.4534342,0.4696966,4,0,330,783,,330,783,,0,,,,424,307,766,312040,460,,,,,,,,,
37499,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211638181,20170609_141638181,313225,320329,-1,-1,482,715,-1,2.789474,-1,437.3958,-1,-1,0.4498878,0.4691211,4,0,482,715,,482,715,,0,,,,425,479,718,313225,116,,,,,,,,,
37516,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211638313,20170609_141638313,313357,320470,-1,-1,528,745,-1,-1,-1,435.0237,-1,-1,0.4486755,0.4698046,4,0,528,745,,528,745,,0,,,,426,525,736,313357,159,,,,,,,,,
37570,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211638763,20170609_141638763,313807,320920,279,691,333,733,-1,-1,441.7203,451.4674,0.5946351,0.4817885,0.4481562,0.4702577,0,0,306,712,,306,712,,0,,,,427,314,720,313807,300,,,,,,,,,
37607,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211639072,20170609_141639072,314116,321228,-1,-1,325,757,-1,2.908615,-1,445.4475,-1,-1,0.4506214,0.4699109,4,0,325,757,,325,757,,0,,,,428,314,750,314116,165,,,,,,,,,
37696,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211639813,20170609_141639813,314858,321970,314,791,308,790,-1,-1,416.2707,435.3993,0.6022925,0.4825736,0.453843,0.4697036,0,0,311,790,,311,790,,0,,,,429,316,788,314858,358,,,,,,,,,
37906,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211641570,20170609_141641570,316615,323720,381,801,-1,-1,-1,-1,419.9481,-1,0.5990826,0.4826428,-1,-1,0,4,381,801,,381,801,,0,,,,430,389,786,316615,126,,,,,,,,,
37922,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211641705,20170609_141641705,316750,323853,354,767,347,785,2.963287,3.062469,424.3479,440.9342,0.5994564,0.4834142,0.4518581,0.4700078,0,0,350,776,,350,776,,0,,,,431,328,781,316750,341,,,,,,,,,
37964,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211642056,20170609_141642056,317101,324203,-1,-1,364,795,-1,3.006943,-1,443.755,-1,-1,0.4513481,0.46964,4,0,364,795,,364,795,,0,,,,432,383,780,317101,215,,,,,,,,,
37991,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211642280,20170609_141642280,317325,324428,343,748,345,796,2.820953,2.990585,424.0736,441.5442,0.5997437,0.4833687,0.4518278,0.4698431,0,0,344,772,,344,772,,0,,,,433,326,780,317325,191,,,,,,,,,
38036,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211642657,20170609_141642657,317702,324803,346,746,387,791,2.86171,2.989426,438.8869,450.2023,0.5989501,0.4831973,0.4513614,0.4696327,0,0,366,768,,366,768,,0,,,,434,375,773,317702,127,,,,,,,,,
38066,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211642905,20170609_141642905,317950,325053,346,832,379,865,2.843933,2.904526,435.6776,448.7278,0.6003555,0.4839477,0.4530953,0.4700739,0,0,362,848,,362,848,,0,,,,435,370,849,317950,165,,,,,,,,,
38117,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211643330,20170609_141643330,318375,325478,390,693,410,720,2.743805,2.791199,432.1406,447.3221,0.6004013,0.4828176,0.4531007,0.4688085,0,0,400,706,,400,706,,0,,,,436,418,691,318375,166,,,,,,,,,
38143,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211643546,20170609_141643546,318591,325695,-1,-1,460,660,-1,-1,-1,435.07,-1,-1,0.4541597,0.4678825,4,0,460,660,,460,660,,0,,,,437,474,647,318591,108,,,,,,,,,
38170,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211643776,20170609_141643776,318821,325920,-1,-1,505,569,-1,-1,-1,447.6006,-1,-1,0.4521235,0.4673832,4,0,505,569,,505,569,,0,,,,438,507,573,318821,228,,,,,,,,,
38285,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211644722,20170609_141644722,319767,326878,359,521,405,553,2.50592,2.643051,436.932,450.0186,0.5987194,0.4801015,0.452441,0.4663483,0,0,382,537,,382,537,,0,,,,439,377,533,319767,190,,,,,,,,,
38335,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211645140,20170609_141645140,320185,327295,317,598,384,579,-1,-1,440.4469,451.5484,0.6005628,0.4796932,0.4545212,0.4664708,0,0,350,588,,350,588,,0,,,,440,372,586,320185,456,,,,,,,,,
38393,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211645621,20170609_141645621,320666,327778,-1,-1,316,589,-1,2.8564,-1,445.5462,-1,-1,0.4557501,0.4664488,4,0,316,589,,316,589,,0,,,,441,306,578,320666,140,,,,,,,,,
38516,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211646647,20170609_141646647,321692,328803,-1,-1,369,633,-1,3.033279,-1,464.3415,-1,-1,0.4530721,0.4674569,4,0,369,633,,369,633,,0,,,,442,351,640,321692,115,,,,,,,,,
