Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration
21,196090,209.72192513368984,134.5831207162654,239201.61941043503,255.83060899511767,255.97800450488464,83457.225561515,89.2590647716738,61.24905187061398,79017.976108935,84.51120439458289,60.30870799996776,935,577,0.6171122994652406,83,16359,197.0964,1188,0.08877,0.129693,14,2723,194.5,327,0.014973,0.021588,67,15118,225.6418,975,0.071658,0.119855,35,8026,229.3143,932,0.037433,0.06363,82,21087,257.1585,1112,0.087701,0.167177,37,7505,202.8378,455,0.039572,0.059499,5,903,180.6,258,0.005348,0.007159,254,54415,214.2323,1002,0.271658,0.431399
22,312527,225.32588320115357,148.99103835449876,323551.259133915,233.27415943324803,252.27319045414382,113186.70495467,81.60541092622206,64.40489439037607,130244.038275205,93.90341620418529,60.89753706797255,1387,842,0.6070656092285508,212,46677,220.1745,1030,0.152848,0.23696,16,3432,214.5,539,0.011536,0.017423,84,18571,221.0833,1085,0.060562,0.094277,40,10346,258.65,1100,0.028839,0.052522,103,32226,312.8738,1535,0.074261,0.163598,51,12607,247.1961,1029,0.03677,0.064,5,738,147.6,283,0.003605,0.003747,331,72386,218.6888,1208,0.238645,0.367473
24,92570,175.98859315589354,96.14106631164869,131549.93527604,250.0949339848669,267.38858692833395,47440.723119941,90.19148882118061,64.18114185973953,43623.521108942005,82.93445077745628,61.64158676536826,526,334,0.6349809885931559,79,12674,160.4304,316,0.15019,0.221822,1,144,144.0,144,0.001901,0.00252,58,9121,157.2586,284,0.110266,0.159637,16,2197,137.3125,220,0.030418,0.038452,21,4243,202.0476,563,0.039924,0.074261,9,1348,149.7778,246,0.01711,0.023593,2,215,107.5,114,0.003802,0.003763,148,27194,183.7432,1166,0.281369,0.475952
25,98712,182.12546125461256,106.14017401961613,129267.89235679801,238.50164641475646,243.3586190369876,41713.484562084996,76.96214863853321,65.99765479647279,50086.978111064,92.41139872890038,65.49691568858917,542,317,0.584870848708487,127,23187,182.5748,840,0.234317,0.420458,8,1715,214.375,440,0.01476,0.031099,22,3034,137.9091,250,0.04059,0.055017,6,793,132.1667,175,0.01107,0.01438,10,1334,133.4,210,0.01845,0.02419,2,311,155.5,201,0.00369,0.005639,4,701,175.25,224,0.00738,0.012711,138,24072,174.4348,916,0.254613,0.436506
26,177151,208.90448113207546,132.3594942933849,183032.026990858,215.8396544703514,246.11116247490554,72572.28980278301,85.58053042781015,60.519909292359614,76592.29992507401,90.32110840220992,59.54439025840584,848,559,0.6591981132075472,50,9545,190.9,663,0.058962,0.078744,5,1290,258.0,556,0.005896,0.010642,98,22877,233.4388,939,0.115566,0.188731,39,9173,235.2051,697,0.045991,0.075675,56,11608,207.2857,1055,0.066038,0.095764,17,2527,148.6471,205,0.020047,0.020847,1,135,135.0,135,0.001179,0.001114,293,64060,218.6348,978,0.345519,0.528482
27,113305,244.1918103448276,161.99287993898758,105854.76591506801,228.13527136868106,223.0674686623545,39236.318629396,84.5610315288707,66.05311624063168,41413.294274905,89.25278938557112,62.54095673302132,464,318,0.6853448275862069,51,12591,246.8824,1014,0.109914,0.162312,3,580,193.3333,219,0.006466,0.007477,16,5151,321.9375,978,0.034483,0.066402,34,9500,279.4118,686,0.073276,0.122465,39,10586,271.4359,811,0.084052,0.136465,12,2259,188.25,367,0.025862,0.029121,0,0,0,0,0.0,0.0,163,36906,226.4172,918,0.351293,0.475758
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,122018,199.37581699346404,125.65578917038371,128567.832428572,210.07815756302614,259.34518650778114,51083.070842571,83.46907000420099,56.67013434124805,58276.953967894995,95.22378099329248,57.58543071207057,612,489,0.7990196078431373,61,11526,188.9508,889,0.099673,0.1153,5,827,165.4,200,0.00817,0.008273,108,22614,209.3889,988,0.176471,0.226219,29,6812,234.8966,1085,0.047386,0.068144,16,3781,236.3125,804,0.026144,0.037823,9,1987,220.7778,632,0.014706,0.019877,1,103,103.0,103,0.001634,0.00103,260,52315,201.2115,811,0.424837,0.523333
30,219846,198.2380522993688,129.39469309541713,293183.018194792,264.36701370134534,269.03893336123866,95379.93336028399,86.00535018961587,61.695829156039345,96159.43396325,86.7082362157349,60.13936835696472,1109,645,0.581605049594229,13,2517,193.6154,986,0.011722,0.018634,23,3425,148.913,333,0.020739,0.025356,85,21204,249.4588,1151,0.076646,0.156977,35,7223,206.3714,755,0.03156,0.053473,133,31917,239.9774,1132,0.119928,0.236287,40,8221,205.525,968,0.036069,0.060862,4,959,239.75,522,0.003607,0.0071,312,59611,191.0609,1334,0.281335,0.441311
31,178318,214.32451923076923,141.36874476828973,192177.939599586,230.98310048027164,244.982849344139,75269.88519522,90.46861201348558,58.59583655737555,71281.32570754399,85.67467032156729,59.0553143609962,832,541,0.6502403846153846,2,338,169.0,190,0.002404,0.002754,13,2268,174.4615,307,0.015625,0.018481,78,17965,230.3205,839,0.09375,0.146389,72,17941,249.1806,907,0.086538,0.146193,99,25381,256.3737,1047,0.11899,0.206819,19,3865,203.4211,458,0.022837,0.031494,0,0,0,0,0.0,0.0,258,54963,213.0349,1200,0.310096,0.44787
