ParticipantID,Task,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration
31,CH2,77,47,0.6103896103896104,10529,224.0212765957447,145.01804573865854,7606.659761884,161.84382472093617,148.01344754508287,4989.5816578720005,106.16131186961704,52.59113959905422,4481.494018884001,95.35093657200002,55.13759514785839,0,0,0,0,0.0,0.0,1,100,100.0,100,0.02127659574468085,0.009497578117580016,6,2200,366.6666666666667,814,0.1276595744680851,0.20894671858676037,2,242,121.0,133,0.0425531914893617,0.02298413904454364,4,535,133.75,158,0.0851063829787234,0.05081204292905309,1,458,458.0,458,0.02127659574468085,0.04349890777851648,0,0,0,0,0.0,0.0,33,6994,211.93939393939394,566,0.7021276595744681,0.6642606135435464
31,DH3,92,67,0.7282608695652174,15146,226.0597014925373,128.08123362101506,20203.674655300998,301.5473829149403,348.36813142549954,6687.19602492,99.80889589432836,56.86848818174472,6284.533767757,93.7990114590597,58.37739002893102,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,26,5740,220.76923076923077,742,0.3880597014925373,0.37897794797306217,11,3130,284.54545454545456,658,0.16417910447761194,0.20665522250099036,16,4186,261.625,500,0.23880597014925373,0.27637660108279416,3,484,161.33333333333334,207,0.04477611940298507,0.0319556318499934,0,0,0,0,0.0,0.0,11,1606,146.0,260,0.16417910447761194,0.1060345965931599
31,CL8,39,22,0.5641025641025641,4799,218.13636363636363,200.40669909292532,5189.439197294001,235.88359987700005,243.8267269324637,2185.8246972200004,99.35566805545456,45.428342371450825,1748.1620593439998,79.46191178836362,53.83184817979606,0,0,0,0,0.0,0.0,1,186,186.0,186,0.045454545454545456,0.038758074598874766,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,1460,365.0,1042,0.18181818181818182,0.30423004792665137,3,825,275.0,369,0.13636363636363635,0.17191081475307357,0,0,0,0,0.0,0.0,14,2328,166.28571428571428,474,0.6363636363636364,0.4851010627214003
31,DL9,44,24,0.5454545454545454,4070,169.58333333333334,52.26687659396617,6513.839093045,271.40996221020833,217.71705433125248,2211.5245524879997,92.14685635366665,43.961371658270465,1762.85343539,73.45222647458333,66.07505381306052,0,0,0,0,0.0,0.0,2,262,131.0,144,0.08333333333333333,0.06437346437346438,0,0,0,0,0.0,0.0,2,415,207.5,298,0.08333333333333333,0.10196560196560196,11,2042,185.63636363636363,300,0.4583333333333333,0.5017199017199018,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,1351,150.11111111111111,207,0.375,0.3319410319410319
31,DL5,28,15,0.5357142857142857,3259,217.26666666666668,233.914362297164,4800.97945437,320.065296958,246.6626691432613,1317.090843683,87.80605624553333,67.3004304747935,1507.6434087239995,100.50956058159997,59.15659874165821,0,0,0,0,0.0,0.0,2,320,160.0,208,0.13333333333333333,0.0981896287204664,0,0,0,0,0.0,0.0,3,724,241.33333333333334,416,0.2,0.22215403498005523,2,1196,598.0,1047,0.13333333333333333,0.3669837373427432,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,1019,127.375,165,0.5333333333333333,0.3126725989567352
31,CH7,85,55,0.6470588235294118,15463,281.1454545454545,209.43746458131108,7929.049445395002,144.16453537081821,173.42980087208252,4805.285236953,87.36882249005454,52.682403264874004,4373.974676697999,79.52681230359998,55.37090301885446,0,0,0,0,0.0,0.0,3,534,178.0,252,0.05454545454545454,0.03453404902024187,14,3895,278.2142857142857,839,0.2545454545454545,0.2518916122356593,0,0,0,0,0.0,0.0,5,1041,208.2,350,0.09090909090909091,0.06732199443833667,3,454,151.33333333333334,191,0.05454545454545454,0.02936040871758391,0,0,0,0,0.0,0.0,30,9539,317.96666666666664,1200,0.5454545454545454,0.6168919355881782
31,CH5,141,100,0.7092198581560284,23330,233.3,140.54440579404076,19436.283041322,194.36283041322,219.30973566017366,10187.633743784001,101.87633743784001,56.05204332861844,9240.603022534002,92.40603022534002,65.48270106507191,0,0,0,0,0.0,0.0,1,275,275.0,275,0.01,0.01178739819974282,14,2823,201.64285714285714,490,0.14,0.12100300042863266,14,3147,224.78571428571428,439,0.14,0.13489069867123873,21,6272,298.6666666666667,908,0.21,0.26883840548649807,2,319,159.5,167,0.02,0.01367338191170167,0,0,0,0,0.0,0.0,48,10494,218.625,821,0.48,0.44980711530218603
31,DL8,26,15,0.5769230769230769,2985,199.0,86.86080819333884,2678.7866741370003,178.5857782758,240.64355341635138,1193.3586592830002,79.55724395220001,60.78046443379461,1249.6650131039999,83.3110008736,53.66889138811684,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,859,214.75,342,0.26666666666666666,0.2877721943048576,8,1797,224.625,392,0.5333333333333333,0.6020100502512563,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,329,109.66666666666667,126,0.2,0.1102177554438861
31,DH10,34,26,0.7647058823529411,4602,177.0,106.0732693072975,5055.147700792,194.42875772276923,187.54106345111526,2562.6450958849996,98.56327291865384,51.05004700052666,2382.789046802,91.6457325693077,51.89149583657801,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,448,149.33333333333334,158,0.11538461538461539,0.09734897870491091,4,1134,283.5,652,0.15384615384615385,0.24641460234680573,5,841,168.2,227,0.19230769230769232,0.18274663189917428,2,374,187.0,200,0.07692307692307693,0.0812690134724033,0,0,0,0,0.0,0.0,12,1805,150.41666666666666,250,0.46153846153846156,0.39222077357670576
31,DH8,28,19,0.6785714285714286,3621,190.57894736842104,89.21547882542502,5016.183344450001,264.00964970789477,265.46445813402113,1625.3099164,85.54262717894737,56.26318383807879,1406.660527902,74.03476462642105,61.02653089616885,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,443,147.66666666666666,151,0.15789473684210525,0.12234189450428058,6,906,151.0,218,0.3157894736842105,0.2502071251035626,4,926,231.5,476,0.21052631578947367,0.2557304611985639,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,1346,224.33333333333334,308,0.3157894736842105,0.37172051919359295
