ParticipantID,Task,NumFixations,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration,NoAOI_AOI_NumberOfFixations,NoAOI_AOI_FixationDurationSum,NoAOI_AOI_FixationDurationMean,NoAOI_AOI_LongestFixationInAOI,NoAOI_AOI_ProportionOfTotalFixations,NoAOI_AOI_ProportionOFTotalFixationDuration
51,CL5,73,17766,243.369863,0,15137.11749,207.3577738,0,6381.267256,87.41461994,0,6138.029346,84.08259377,0,13,2636,0,392,0.178082192,0.148373297,2,441,0,250,0.02739726,0.024822695,1,250,0,250,0.01369863,0.014071823,9,3044,0,467,0.123287671,0.171338512,4,942,0,300,0.054794521,0.053022627,1,250,0,250,0.01369863,0.014071823,1,250,0,250,0.01369863,0.014071823,20,5570,0,600,0.273972603,0.313520207,30,6383,0,567,0.410958904,0.359281774
51,DH3,204,46598,228.4215686,0,48096.42013,235.7667653,0,17671.28128,86.62392783,0,19025.22169,93.26089065,0,27,5299,0,350,0.132352941,0.113717327,1,125,0,125,0.004901961,0.002682519,36,12589,0,1392,0.176470588,0.27016181,12,3146,0,1058,0.058823529,0.067513627,12,1998,0,274,0.058823529,0.042877377,4,585,0,167,0.019607843,0.012554187,1,125,0,125,0.004901961,0.002682519,59,12860,0,993,0.289215686,0.27597751,60,10871,0,808,0.294117647,0.233293274
51,CH10,36,7739,214.9722222,0,9064.675189,251.796533,0,2858.676082,79.40766894,0,3432.829266,95.3563685,0,5,1146,0,315,0.138888889,0.148081147,1,167,0,167,0.027777778,0.021579015,3,623,0,296,0.083333333,0.080501357,2,388,0,221,0.055555556,0.050135676,8,1725,0,434,0.222222222,0.222897015,4,542,0,167,0.111111111,0.070034888,1,167,0,167,0.027777778,0.021579015,10,2247,0,502,0.277777778,0.29034759,10,2070,0,292,0.277777778,0.267476418
51,CL8,37,8923,241.1621622,0,7364.0601,199.0286513,0,3558.067045,96.1639742,0,3799.461514,102.688149,0,6,2014,0,1041,0.162162162,0.225708842,3,600,0,236,0.081081081,0.067241959,1,234,0,234,0.027027027,0.026224364,8,1664,0,301,0.216216216,0.186484366,2,344,0,234,0.054054054,0.038552056,1,234,0,234,0.027027027,0.026224364,1,234,0,234,0.027027027,0.026224364,4,683,0,234,0.108108108,0.076543763,19,4788,0,834,0.513513514,0.536590833
51,CL7,111,27199,245.036036,0,20679.81638,186.3046521,0,9715.269653,87.52495183,0,9530.043058,85.85624377,0,8,2187,0,596,0.072072072,0.080407368,1,170,0,170,0.009009009,0.00625023,1,170,0,170,0.009009009,0.00625023,9,2935,0,684,0.081081081,0.107908379,10,1702,0,306,0.09009009,0.06257583,5,1245,0,551,0.045045045,0.045773742,1,170,0,170,0.009009009,0.00625023,35,9272,0,1155,0.315315315,0.340894886,49,10708,0,945,0.441441441,0.393690945
51,DL13,67,18983,283.3283582,0,12848.26069,191.7650849,0,5110.61029,76.27776552,0,5866.785722,87.56396601,0,27,6644,0,499,0.402985075,0.349997366,2,296,0,191,0.029850746,0.015592899,4,1830,0,1233,0.059701493,0.096402044,2,1027,0,922,0.029850746,0.054101038,3,396,0,149,0.044776119,0.02086077,1,105,0,105,0.014925373,0.005531265,1,105,0,105,0.014925373,0.005531265,12,3323,0,1109,0.179104478,0.175051362,23,6097,0,1357,0.343283582,0.32118211
51,DL14,88,19100,217.0454545,0,20189.58995,229.4271586,0,8109.267342,92.15076525,0,6621.098848,75.23975963,0,29,6259,0,566,0.329545455,0.327696335,1,159,0,159,0.011363636,0.008324607,2,347,0,188,0.022727273,0.018167539,8,2723,0,1272,0.090909091,0.142565445,6,1179,0,418,0.068181818,0.061727749,1,159,0,159,0.011363636,0.008324607,1,159,0,159,0.011363636,0.008324607,18,3260,0,334,0.204545455,0.170680628,30,6127,0,742,0.340909091,0.32078534
51,DH9,90,21668,240.7555556,0,18537.31962,205.970218,0,7881.860704,87.57623004,0,7800.803499,86.67559444,0,17,2977,0,390,0.188888889,0.137391545,1,225,0,225,0.011111111,0.010383976,5,1170,0,402,0.055555556,0.053996677,12,2976,0,750,0.133333333,0.137345394,3,1728,0,1345,0.033333333,0.079748939,1,225,0,225,0.011111111,0.010383976,1,225,0,225,0.011111111,0.010383976,36,9367,0,968,0.4,0.432296474,22,4575,0,887,0.244444444,0.211140853
51,DL2,47,9294,197.7446809,0,9805.807448,208.634201,0,4480.37845,95.32720107,0,4449.897858,94.67867783,0,10,1770,0,249,0.212765957,0.190445449,1,128,0,128,0.021276596,0.013772326,1,128,0,128,0.021276596,0.013772326,1,128,0,128,0.021276596,0.013772326,6,1192,0,445,0.127659574,0.128254788,2,314,0,186,0.042553191,0.033785238,1,128,0,128,0.021276596,0.013772326,15,2790,0,450,0.319148936,0.300193673,18,3740,0,652,0.382978723,0.402410157
51,DL12,90,19568,217.4222222,0,21468.61111,238.5401234,0,8061.810684,89.57567427,0,7822.202923,86.91336581,0,11,2258,0,624,0.122222222,0.115392478,1,624,0,624,0.011111111,0.031888798,4,1465,0,624,0.044444444,0.07486713,7,2260,0,624,0.077777778,0.115494685,6,1531,0,624,0.066666667,0.078239984,4,1082,0,624,0.044444444,0.055294358,1,624,0,624,0.011111111,0.031888798,22,4849,0,624,0.244444444,0.247802535,42,9867,0,690,0.466666667,0.504241619
51,CL11,44,9034,205.3181818,0,11004.79086,250.1088833,0,3847.037603,87.4326728,0,3506.103145,79.68416239,0,6,976,0,216,0.136363636,0.108036307,2,535,0,366,0.045454545,0.059220722,7,1857,0,550,0.159090909,0.205556785,3,559,0,248,0.068181818,0.061877352,2,535,0,366,0.045454545,0.059220722,4,790,0,316,0.090909091,0.087447421,1,169,0,169,0.022727273,0.018707106,12,1958,0,292,0.272727273,0.216736772,15,3007,0,458,0.340909091,0.332853664
51,DL9,50,11022,220.44,0,10392.21595,207.844319,0,4685.548606,93.71097213,0,4861.749647,97.23499295,0,14,2397,0,283,0.28,0.217474143,2,567,0,467,0.04,0.051442569,1,100,0,100,0.02,0.009072764,1,100,0,100,0.02,0.009072764,1,100,0,100,0.02,0.009072764,2,308,0,208,0.04,0.027944112,1,100,0,100,0.02,0.009072764,29,5289,0,475,0.58,0.479858465,7,2861,0,867,0.14,0.259571766
51,CL15,65,16072,247.2615385,0,11280.64231,173.5483432,0,6123.659576,94.21014732,0,5211.781033,80.18124666,0,4,901,0,284,0.061538462,0.056060229,7,2092,0,692,0.107692308,0.130164261,1,208,0,208,0.015384615,0.012941762,3,1061,0,600,0.046153846,0.066015431,2,358,0,208,0.030769231,0.022274764,1,208,0,208,0.015384615,0.012941762,1,208,0,208,0.015384615,0.012941762,27,7303,0,965,0.415384615,0.454392733,27,5397,0,526,0.415384615,0.335801394
