Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration,NoAOI_AOI_NumberOfFixations,NoAOI_AOI_FixationDurationSum,NoAOI_AOI_FixationDurationMean,NoAOI_AOI_LongestFixationInAOI,NoAOI_AOI_ProportionOfTotalFixations,NoAOI_AOI_ProportionOfTotalFixationDuration
10,1308455,225.20740103270225,149.15172611917853,1044875.8985804409,179.8409463993874,227.98518453481324,448900.863916661,77.26348776534613,66.24043855858679,565751.626157131,97.37549503565079,63.45737250763709,430,98629,229.3698,1199,0.101105,0.100312,65,15634,240.5231,875,0.015283,0.015901,278,75462,271.446,1241,0.065366,0.07675,161,28864,179.2795,483,0.037856,0.029356,228,56632,248.386,1025,0.053609,0.057598,35,7171,204.8857,542,0.008229,0.007293,70,19953,285.0429,1259,0.016459,0.020293,1131,261432,231.1512,1608,0.26593,0.265893,1855,419447,226.117,1407,0.436163,0.426604
11,369859,164.01729490022174,106.53937357305678,566634.296178206,251.27906704133304,286.0108474137236,180956.705954927,80.24687625495653,65.95131086659211,180475.24682091398,80.0333688784541,59.393218768557475,2,267,133.5,158,0.001495,0.001221,25,3784,151.36,308,0.018685,0.0173,42,6365,151.5476,262,0.03139,0.029101,58,8877,153.0517,308,0.043348,0.040586,71,11424,160.9014,730,0.053064,0.05223,9,1510,167.7778,299,0.006726,0.006904,24,3619,150.7917,324,0.017937,0.016546,312,52343,167.766,1004,0.233184,0.239312,795,130534,164.1937,1022,0.59417,0.596801
12,1731930,238.6893605292172,164.64957162429067,1331917.29959709,183.56081857732775,209.6548715332914,595658.42348358,82.09184447127619,68.56730159222748,652058.04822224,89.86467037241455,65.55835872702026,521,112444,215.8234,1117,0.096625,0.086157,35,7781,222.3143,1162,0.006491,0.005962,294,83787,284.9898,1322,0.054525,0.064199,239,61929,259.1172,1183,0.044325,0.047451,207,53167,256.8454,2042,0.03839,0.040738,81,16202,200.0247,840,0.015022,0.012414,48,13228,275.5833,1312,0.008902,0.010136,1953,519223,265.8592,2833,0.362203,0.397838,2014,437349,217.1544,1101,0.373516,0.335105
13,1146067,244.9908080376229,180.84260093449487,1047398.8601642479,223.89885852164343,229.09141768224185,424489.331862889,90.74162716179757,65.47911727799328,389941.015887565,83.35635226326741,61.90788478170749,169,34467,203.9467,1037,0.053262,0.045491,34,7587,223.1471,692,0.010715,0.010014,88,27812,316.0455,1375,0.027734,0.036707,99,29332,296.2828,1915,0.031201,0.038714,20,4112,205.6,552,0.006303,0.005427,46,10378,225.6087,702,0.014497,0.013697,24,4739,197.4583,575,0.007564,0.006255,1452,329513,226.9373,2293,0.457611,0.434905,1241,309726,249.5778,1918,0.391113,0.40879
14,1978592,250.32793522267207,183.24967565585777,1802549.871203215,228.0553986846173,257.428147705367,627765.4857418281,79.42377096936085,66.40158104772853,736182.164321607,93.14045601234906,63.43462490808282,876,194429,221.9509,1100,0.149514,0.135217,55,12805,232.8182,610,0.009387,0.008905,400,114597,286.4925,1129,0.068271,0.079697,294,85540,290.9524,1509,0.050179,0.059489,257,58098,226.0623,997,0.043864,0.040405,95,18951,199.4842,911,0.016214,0.01318,90,24214,269.0444,1349,0.015361,0.01684,2234,583388,261.1406,1532,0.381294,0.40572,1558,345886,222.0064,1355,0.265916,0.240548
16,1287269,198.46885599753315,126.09205874958496,1277156.310391943,196.9096994128805,239.669940033487,506588.78963587596,78.10496294108479,67.12429461399083,590225.880739881,90.99998161268593,63.9760457483724,754,150946,200.1936,1026,0.160836,0.165928,34,8105,238.3824,1308,0.007253,0.008909,360,73603,204.4528,997,0.076792,0.080908,325,56006,172.3262,973,0.069326,0.061565,112,20278,181.0536,1036,0.023891,0.022291,49,8375,170.9184,619,0.010452,0.009206,43,7884,183.3488,638,0.009172,0.008667,1645,333040,202.4559,1268,0.350896,0.366095,1366,251472,184.0937,1282,0.291382,0.276431
17,1439404,219.99144123490754,156.70500763934214,1180591.5579503998,180.43581811866113,234.2828909664453,602674.008948955,92.10973696300702,65.20652646773932,551487.798760404,84.28668787412563,60.031072827011656,306,55706,182.0458,1004,0.061931,0.051851,35,7794,222.6857,822,0.007084,0.007255,157,32936,209.7834,820,0.031775,0.030657,328,86885,264.8933,1558,0.066383,0.080872,206,46849,227.4223,1317,0.041692,0.043607,48,10028,208.9167,723,0.009715,0.009334,61,13374,219.2459,525,0.012346,0.012448,2266,512230,226.0503,1499,0.458612,0.476781,1534,308549,201.1402,1511,0.310463,0.287196
18,876852,231.78747026169705,184.13099681726231,851181.8594726571,225.00181323622974,252.56830744693545,318190.35219098104,84.11058741500952,60.852576773793245,315080.551469661,83.28854122909358,59.21154644809567,83,13805,166.3253,850,0.027834,0.019531,24,4292,178.8333,997,0.008048,0.006072,74,16974,229.3784,1061,0.024816,0.024015,82,21582,263.1951,1009,0.027498,0.030534,55,12110,220.1818,784,0.018444,0.017133,30,6720,224.0,938,0.01006,0.009507,27,5647,209.1481,757,0.009054,0.007989,1557,359893,231.1452,1431,0.522133,0.509171,1050,265798,253.141,2331,0.352113,0.376047
19,1426941,229.22746987951808,163.8671860864027,1297593.47864972,208.44875159031648,236.4485035117463,544419.059852661,87.45687708476481,65.78946495941487,535769.5261367441,86.06739375690668,62.54507175813308,112,25345,226.2946,1026,0.023659,0.023709,19,4262,224.3158,917,0.004014,0.003987,178,41675,234.1292,1002,0.0376,0.038985,156,35293,226.2372,1264,0.032953,0.033015,182,44779,246.0385,1517,0.038445,0.041889,87,19313,221.9885,856,0.018378,0.018066,86,16082,187.0,891,0.018166,0.015044,2533,610796,241.1354,1988,0.535065,0.571372,1381,271453,196.5626,1374,0.291719,0.253932
20,1762350,258.7125660598943,175.1240855481082,1255620.2966592498,184.32476462995447,200.72437984319401,609474.085999518,89.47065267168497,68.4805092785564,664659.9500459121,97.5719245516606,64.91678115182849,994,205072,206.3099,891,0.201092,0.163184,22,4322,196.4545,785,0.004451,0.003439,273,83517,305.9231,1032,0.05523,0.066458,205,54670,266.6829,768,0.041473,0.043503,348,114523,329.0891,1549,0.070403,0.091131,132,32327,244.9015,1185,0.026704,0.025724,31,7298,235.4194,826,0.006271,0.005807,1697,470510,277.2599,2325,0.343314,0.374404,1241,284453,229.2127,1608,0.251062,0.226351
