ParticipantID,Task,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration,HIGH-3/MEDIUM-2/LOW-1,HIGH-1/LOW-0
12,DL12,75,43,0.573333333,9976,232,0,8088.647938,188.1080916,0,3821.264866,88.86662479,0,3570.758973,83.04090635,0,15,2930,195.3333333,325,0.348837209,0.293704892,1,110,110,110,0.023255814,0.011026464,0,0,0,0,0,0,4,878,219.5,302,0.093023256,0.088011227,5,1254,250.8,396,0.11627907,0.125701684,0,0,0,0,0,0,0,0,0,0,0,0,18,4804,266.8888889,1050,0.418604651,0.481555734,2,0
12,DL14,92,79,0.858695652,19716,249.5696203,0,14305.82866,181.0864387,0,7058.208449,89.34441074,0,7076.260906,89.57292286,0,18,4905,272.5,870,0.227848101,0.248782715,0,0,0,0,0,0,7,2484,354.8571429,1145,0.088607595,0.125989044,14,4286,306.1428571,814,0.17721519,0.217386894,4,954,238.5,455,0.050632911,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0,36,7087,196.8611111,467,0.455696203,0.35945425,2,0
12,CH7,180,138,0.766666667,38484,278.8695652,0,30305.30271,219.6036429,0,11893.42145,86.18421338,0,13541.6255,98.127721,0,30,5477,182.5666667,305,0.217391304,0.142318886,2,322,161,172,0.014492754,0.008367114,33,10329,313,849,0.239130435,0.268397256,6,3118,519.6666667,1059,0.043478261,0.081020684,4,781,195.25,291,0.028985507,0.020294148,2,232,116,130,0.014492754,0.006028479,0,0,0,0,0,0,61,18225,298.7704918,1258,0.442028986,0.473573433,2,0
12,CL11,124,58,0.467741935,14767,254.6034483,0,15320.91018,264.1536237,0,5619.446346,96.88700596,0,4664.661162,80.42519245,0,14,3903,278.7857143,855,0.24137931,0.264305546,0,0,0,0,0,0,2,692,346,350,0.034482759,0.046861245,7,2339,334.1428571,787,0.120689655,0.158393716,1,233,233,233,0.017241379,0.015778425,0,0,0,0,0,0,0,0,0,0,0,0,34,7600,223.5294118,425,0.586206897,0.514661069,2,0
12,CL4,134,94,0.701492537,22440,238.7234043,0,23753.9701,252.7018095,0,8566.730918,91.13543529,0,8177.214567,86.99164433,0,5,1672,334.4,692,0.053191489,0.074509804,2,276,138,152,0.021276596,0.012299465,2,492,246,283,0.021276596,0.021925134,3,1327,442.3333333,909,0.031914894,0.059135472,0,0,0,0,0,0,6,1214,202.3333333,277,0.063829787,0.054099822,0,0,0,0,0,0,76,17459,229.7236842,1131,0.808510638,0.778030303,2,0
12,CH3,226,173,0.765486726,40074,231.6416185,0,25915.09186,149.7982189,0,15062.24905,87.06502342,0,15363.76693,88.8079013,0,25,6432,257.28,832,0.144508671,0.160503069,1,248,248,248,0.005780347,0.006188551,24,5957,248.2083333,1322,0.138728324,0.148649998,0,0,0,0,0,0,8,1511,188.875,292,0.046242775,0.037705245,2,342,171,208,0.011560694,0.008534212,0,0,0,0,0,0,113,25584,226.4070796,695,0.653179191,0.638418925,2,0
12,DL11,53,20,0.377358491,4771,238.55,0,5673.596892,283.6798446,0,1624.666137,81.23330684,0,1937.767159,96.88835793,0,8,2253,281.625,383,0.4,0.472228044,1,519,519,519,0.05,0.108782226,0,0,0,0,0,0,0,0,0,0,0,0,1,166,166,166,0.05,0.034793544,0,0,0,0,0,0,0,0,0,0,0,0,10,1833,183.3,459,0.5,0.384196185,2,0
12,CL6,132,79,0.598484848,21314,269.7974684,0,20309.37345,257.0806766,0,6751.059077,85.45644401,0,7106.312068,89.95331731,0,15,4102,273.4666667,923,0.189873418,0.192455663,2,340,170,208,0.025316456,0.015951956,5,1124,224.8,440,0.063291139,0.052735291,12,4520,376.6666667,1183,0.151898734,0.212067186,3,1115,371.6666667,635,0.037974684,0.052313034,12,2647,220.5833333,403,0.151898734,0.124190673,3,1055,351.6666667,434,0.037974684,0.049497983,27,6411,237.4444444,912,0.341772152,0.300788214,2,0
12,DL3,148,99,0.668918919,21068,212.8080808,0,24150.53718,243.94482,0,8038.20068,81.19394626,0,8954.021665,90.44466328,0,14,3373,240.9285714,566,0.141414141,0.160100627,1,135,135,135,0.01010101,0.006407822,2,550,275,358,0.02020202,0.026105943,0,0,0,0,0,0,11,2002,182,266,0.111111111,0.095025631,6,1114,185.6666667,283,0.060606061,0.0528764,10,1588,158.8,220,0.101010101,0.075374976,55,12306,223.7454545,581,0.555555556,0.584108601,2,0
12,CL5,107,66,0.61682243,13709,207.7121212,0,16090.58688,243.7967709,0,5505.609088,83.41831951,0,6742.596995,102.1605605,0,27,4755,176.1111111,306,0.409090909,0.346852433,1,493,493,493,0.015151515,0.035961777,4,841,210.25,237,0.060606061,0.061346561,2,607,303.5,411,0.03030303,0.044277482,6,1403,233.8333333,487,0.090909091,0.102341527,3,529,176.3333333,183,0.045454545,0.038587789,2,309,154.5,184,0.03030303,0.022539937,21,4772,227.2380952,951,0.318181818,0.348092494,2,0
12,DL5,63,34,0.53968254,7263,213.6176471,0,7615.062655,223.972431,0,1993.770128,58.64029789,0,3747.155775,110.210464,0,20,3988,199.4,291,0.588235294,0.5490844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,287,143.5,177,0.058823529,0.039515352,1,400,400,400,0.029411765,0.055073661,0,0,0,0,0,0,11,2588,235.2727273,507,0.323529412,0.356326587,2,0
12,DL9,35,15,0.428571429,3266,217.7333333,0,5506.03584,367.069056,0,1268.130638,84.54204251,0,1723.406044,114.8937363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,489,244.5,289,0.133333333,0.149724434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2777,213.6153846,801,0.866666667,0.850275566,2,0
12,DL15,79,44,0.556962025,10607,241.0681818,0,7305.302583,166.0296042,0,3980.496945,90.46583966,0,4099.622761,93.17324456,0,18,3807,211.5,527,0.409090909,0.358913925,2,409,204.5,234,0.045454545,0.038559442,5,1812,362.4,612,0.113636364,0.170830584,3,1058,352.6666667,763,0.068181818,0.099745451,4,1178,294.5,444,0.090909091,0.111058735,1,140,140,140,0.022727273,0.013198831,0,0,0,0,0,0,11,2203,200.2727273,307,0.25,0.207693033,2,0
12,CL14,95,23,0.242105263,4245,184.5652174,0,3582.973494,155.7814562,0,2158.147423,93.83249665,0,2421.465834,105.2811232,0,19,3632,191.1578947,351,0.826086957,0.855594817,0,0,0,0,0,0,1,138,138,138,0.043478261,0.032508834,0,0,0,0,0,0,2,325,162.5,175,0.086956522,0.07656066,0,0,0,0,0,0,0,0,0,0,0,0,1,150,150,150,0.043478261,0.035335689,2,0
12,CH2,93,68,0.731182796,16288,239.5294118,0,9908.047917,145.706587,0,5931.058909,87.22145455,0,7633.780922,112.2614841,0,19,3590,188.9473684,303,0.279411765,0.220407662,11,2958,268.9090909,1162,0.161764706,0.18160609,2,401,200.5,275,0.029411765,0.024619352,0,0,0,0,0,0,3,595,198.3333333,225,0.044117647,0.036529961,1,117,117,117,0.014705882,0.007183202,0,0,0,0,0,0,32,8627,269.59375,752,0.470588235,0.529653733,2,0
12,CH10,250,202,0.808,56462,279.5148515,0,29899.08938,148.015294,0,19894.9318,98.48976139,0,19849.94467,98.26705281,0,16,3159,197.4375,267,0.079207921,0.055949134,1,176,176,176,0.004950495,0.003117141,21,5756,274.0952381,540,0.103960396,0.101944671,12,2543,211.9166667,721,0.059405941,0.045039141,7,2017,288.1428571,447,0.034653465,0.035723141,2,341,170.5,208,0.00990099,0.00603946,0,0,0,0,0,0,143,42470,296.993007,1417,0.707920792,0.752187312,2,0
12,CL12,79,49,0.620253165,10255,209.2857143,0,10196.76767,208.0972994,0,4780.500282,97.56123025,0,4007.468379,81.78506895,0,15,3029,201.9333333,351,0.306122449,0.295368113,0,0,0,0,0,0,2,300,150,153,0.040816327,0.029254022,9,1375,152.7777778,198,0.183673469,0.134080936,1,141,141,141,0.020408163,0.013749391,0,0,0,0,0,0,0,0,0,0,0,0,22,5410,245.9090909,675,0.448979592,0.527547538,2,0
12,DL4,95,45,0.473684211,9928,220.6222222,0,8872.725975,197.1716883,0,3070.18944,68.226432,0,4908.156201,109.0701378,0,20,4456,222.8,358,0.444444444,0.448831587,0,0,0,0,0,0,4,857,214.25,400,0.088888889,0.086321515,0,0,0,0,0,0,2,694,347,533,0.044444444,0.069903304,1,175,175,175,0.022222222,0.017626914,0,0,0,0,0,0,18,3746,208.1111111,643,0.4,0.37731668,2,0
