ParticipantID,Task,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration
10,DH7,179,107,0.597765363,25555,238.8317757,148.6219872,17895.20608,167.2449166,201.2090964,8275.596004,77.34201873,62.54037945,9423.317562,88.06838843,57.56903442,24,6455,268.9583333,841,0.224299065,0.252592448,0,0,0,0,0,0,10,3171,317.1,914,0.093457944,0.124085306,5,870,174,351,0.046728972,0.034044218,6,1508,251.3333333,333,0.056074766,0.059009978,1,133,133,133,0.009345794,0.005204461,3,382,127.3333333,149,0.028037383,0.014948151,58,13036,224.7586207,847,0.542056075,0.510115437
10,CL14,112,55,0.491071429,12825,233.1818182,142.4912235,8303.783781,150.9778869,201.1169389,3963.530069,72.06418307,61.73152256,5747.37757,104.497774,59.55345185,14,3297,235.5,620,0.254545455,0.257076023,9,2983,331.4444444,875,0.163636364,0.232592593,6,1521,253.5,283,0.109090909,0.118596491,18,3462,192.3333333,392,0.327272727,0.26994152,6,1132,188.6666667,233,0.109090909,0.088265107,0,0,0,0,0,0,0,0,0,0,0,0,2,430,215,293,0.036363636,0.033528265
10,CL5,48,24,0.5,5740,239.1666667,129.1435463,6078.607654,253.2753189,231.8878777,1835.701164,76.48754851,64.85032065,2182.146445,90.92276854,50.45092956,0,0,0,0,0,0,10,2917,291.7,613,0.416666667,0.508188153,1,258,258,258,0.041666667,0.044947735,4,745,186.25,302,0.166666667,0.129790941,2,399,199.5,258,0.083333333,0.069512195,1,110,110,110,0.041666667,0.019163763,0,0,0,0,0,0,6,1311,218.5,341,0.25,0.228397213
10,DL7,134,49,0.365671642,11179,228.1428571,122.172511,12479.26617,254.6789015,278.592534,3771.453368,76.96843607,68.75775041,4541.94015,92.69265613,65.3890512,15,3474,231.6,663,0.306122449,0.310761249,0,0,0,0,0,0,5,1169,233.8,433,0.102040816,0.104571071,0,0,0,0,0,0,1,178,178,178,0.020408163,0.015922712,0,0,0,0,0,0,4,748,187,265,0.081632653,0.066911173,24,5610,233.75,646,0.489795918,0.501833796
10,CL6,60,38,0.633333333,8525,224.3421053,119.067711,8659.166997,227.8728157,251.1818504,3253.636757,85.62201992,67.50020056,3441.750888,90.57239179,65.78114502,13,2556,196.6153846,433,0.342105263,0.299824047,0,0,0,0,0,0,0,0,0,0,0,0,3,604,201.3333333,284,0.078947368,0.07085044,1,425,425,425,0.026315789,0.049853372,0,0,0,0,0,0,0,0,0,0,0,0,21,4940,235.2380952,708,0.552631579,0.579472141
10,DH10,136,52,0.382352941,13595,261.4423077,208.8975102,17213.78945,331.0344125,418.7006073,4473.907858,86.03668958,61.44349531,5141.57432,98.87642923,57.80698622,9,2086,231.7777778,342,0.173076923,0.153438764,0,0,0,0,0,0,9,2166,240.6666667,790,0.173076923,0.159323281,2,284,142,167,0.038461538,0.020890033,3,1181,393.6666667,881,0.057692308,0.086870173,0,0,0,0,0,0,11,4004,364,1259,0.211538462,0.294520044,18,3874,215.2222222,557,0.346153846,0.284957705
10,CL10,87,48,0.551724138,9066,188.875,73.84488952,7888.89359,164.3519498,214.8838328,4267.675888,88.90991433,59.31592336,5065.119019,105.5233129,54.56738211,3,526,175.3333333,241,0.0625,0.058018972,0,0,0,0,0,0,0,0,0,0,0,0,22,4356,198,386,0.458333333,0.480476506,6,1153,192.1666667,299,0.125,0.127178469,0,0,0,0,0,0,1,210,210,210,0.020833333,0.023163468,16,2821,176.3125,308,0.333333333,0.311162585
10,DL3,226,158,0.699115044,38883,246.0949367,166.9537489,32329.30554,204.6158579,237.6548717,12505.20607,79.14687389,62.26783456,14319.12734,90.6273882,60.80235294,23,4740,206.0869565,586,0.14556962,0.121904174,0,0,0,0,0,0,3,593,197.6666667,242,0.018987342,0.015250881,2,235,117.5,120,0.012658228,0.006043772,11,2404,218.5454545,610,0.069620253,0.061826505,0,0,0,0,0,0,27,8718,322.8888889,1033,0.170886076,0.224211095,92,22193,241.2282609,1068,0.582278481,0.570763573
10,CL8,85,43,0.505882353,9548,222.0465116,109.7870991,5545.362807,128.9619257,182.9262358,3667.939766,85.30092479,61.64681834,4090.079309,95.11812347,57.6306926,6,1158,193,299,0.139534884,0.121281944,6,1125,187.5,264,0.139534884,0.117825723,1,208,208,208,0.023255814,0.021784667,0,0,0,0,0,0,8,1813,226.625,578,0.186046512,0.189882698,0,0,0,0,0,0,4,767,191.75,234,0.093023256,0.080330959,18,4477,248.7222222,500,0.418604651,0.468894009
10,CL2,93,59,0.634408602,12745,216.0169492,131.3495132,10530.10967,178.4764351,187.4505388,5301.859065,89.86201805,66.6143157,4594.654871,77.87550628,64.00903901,2,299,149.5,174,0.033898305,0.02346018,15,3369,224.6,393,0.254237288,0.264338956,4,1108,277,589,0.06779661,0.086936053,8,1089,136.125,248,0.13559322,0.085445273,6,2060,343.3333333,892,0.101694915,0.161632013,2,213,106.5,109,0.033898305,0.016712436,0,0,0,0,0,0,22,4607,209.4090909,506,0.372881356,0.361475088
